timestep,num_scouts_produced,num_gatherers_produced,num_scouts_alive,num_gatherers_alive,total_food_collected,num_ants_returned,num_complete_trips,num_phero_A_on_map,num_phero_B_on_map,num_food_on_map,amount_of_food_left
0,4,6,4,0,0,0,0,0,0,116,580
5,4,6,4,0,0,0,0,6,0,116,580
10,4,6,4,0,0,0,0,21,0,116,580
15,4,6,4,0,0,0,0,35,1,116,579
20,4,6,4,0,0,0,0,46,8,116,578
25,4,6,4,0,0,0,0,51,14,116,577
30,4,6,4,0,0,0,0,56,19,116,577
35,4,6,4,0,0,0,0,61,24,116,577
40,4,6,4,6,1,0,0,67,25,116,577
45,4,6,4,6,1,0,0,77,25,116,577
50,4,6,4,6,1,0,0,84,28,116,575
55,4,6,4,6,1,0,0,84,38,115,571
60,4,6,4,6,1,0,0,84,48,115,571
65,4,6,4,6,2,0,0,84,51,115,571
70,4,6,4,6,2,0,0,84,51,115,571
72,5,6,5,6,14,0,0,84,51,115,571
